0,180.29,570.77,77.71,246.67,0.8681
0,1722.51,457.79,73.4,209.22,0.8679
0,941.5,920.33,83.3,158.37,0.8623
0,566.96,403.54,60.94,209.18,0.862
0,371.7,477.77,92.75,242.61,0.857
0,940.9,93.65,66.81,179.15,0.8482
0,476.49,387.05,73.61,221.23,0.8406
0,229.34,436.22,57.84,193.21,0.8244
0,1418.21,568.35,80.6,237.75,0.8208
0,1632.64,18.82,57.8,147.8,0.8147
0,253.67,771.86,90.91,260.11,0.8067
0,1120.36,99.06,56.58,161.04,0.7883
0,1051.79,105.8,56.25,177.39,0.7833
0,458.48,157.6,69.88,200.64,0.7781
0,804.39,362.58,75.6,210.17,0.7716
0,254.91,703.4,63.51,108.86,0.7361
0,290.76,128.97,60.88,167.7,0.7292
0,1472.09,46.61,52.29,137.17,0.7154
0,876.09,379.12,69.01,190.24,0.7017
0,790.57,150.94,62.3,167.09,0.6858
0,511.33,119.44,51.69,169.81,0.6131
0,758.11,99.59,39.57,167.69,0.588
0,706.76,328.0,66.31,181.03,0.5648
0,381.81,3.7,52.19,163.52,0.5371
0,706.9,0.39,51.38,151.21,0.5328
0,249.09,94.6,48.51,183.78,0.5058
0,350.73,105.41,52.58,173.75,0.4585
0,629.74,759.55,117.24,166.74,0.3698
0,517.69,59.96,68.74,158.95,0.3333
0,1222.51,32.99,59.49,111.17,0.3054
