0,345.3,889.19,98.1,189.27,0.895
0,1718.84,453.44,77.41,211.99,0.8682
0,928.03,277.37,64.68,204.87,0.8561
0,1157.36,624.99,95.62,258.28,0.8549
0,1688.46,167.24,55.42,161.91,0.8515
0,1822.71,205.22,59.1,180.85,0.8444
0,1572.11,589.06,108.79,237.01,0.8395
0,846.78,286.93,57.47,193.55,0.8313
0,496.47,284.01,64.83,185.85,0.8248
0,905.32,950.2,64.67,129.68,0.8203
0,590.75,552.5,83.38,236.62,0.8095
0,381.85,470.62,68.07,226.86,0.7655
0,304.17,291.4,64.23,187.96,0.7652
0,387.9,288.79,75.25,193.56,0.7629
0,1470.42,181.13,62.68,156.3,0.749
0,1744.29,665.41,88.69,250.21,0.7379
0,1224.39,147.38,58.67,167.64,0.7151
0,797.55,138.98,66.04,172.23,0.7109
0,315.19,478.75,63.7,198.68,0.6846
0,1350.25,1.09,54.47,71.84,0.669
0,289.38,123.58,49.1,168.09,0.6087
0,233.1,142.2,50.36,155.68,0.5777
0,1441.2,1.14,30.77,68.91,0.486
0,344.65,76.1,53.4,159.7,0.4452
0,547.96,112.67,52.31,173.91,0.4264
0,1782.6,628.51,54.58,122.22,0.3554
0,880.86,0.61,30.73,76.68,0.3493
0,684.56,277.81,51.58,129.98,0.3375
0,505.7,80.22,46.39,165.34,0.3348
0,381.32,0.0,54.52,134.38,0.3345
0,852.07,0.37,27.55,71.74,0.3345
